Year;Jan;Feb;Mar;Apr;May;Jun;Jul;Aug;Sep;Oct;Nov;Dec;Annual
1954;3.4;2.64;2.99;2.34;1.98;1.15;2.4;2.73;0.96;3.92;1.32;2.1;27.93
1955;2.09;2.34;2.26;3.31;3.37;1.79;5.24;1.21;6.01;4.27;5.32;0.7;37.91
1956;1.05;3.99;1.9;4.5;4.91;3.48;3.93;2.55;1.07;1.09;2.31;3.86;34.64
1957;2.98;1.85;1.92;7.83;9.15;6.91;5.91;3.89;2.22;2.94;3.4;6.7;55.7
1958;1.48;0.41;1.49;2.51;3.65;6.09;8.11;3.12;3.35;2.72;4.71;0.47;38.11
1959;4.68;3.22;2.58;3.52;3.67;2.3;2.97;2.56;2.33;5.66;3.21;2.9;39.6
1960;2.35;3.28;1.62;2.05;4.04;7.37;3.27;1.78;2.43;1.61;1.68;1.88;33.36
1961;1.22;3.15;7.91;6.68;6.46;3.47;2.61;2.7;4.4;1.27;3.72;3.05;46.64
1962;4.58;2.27;4.01;1.69;5.14;1.45;6.87;5.78;4.13;2.83;1.42;1.09;41.26
1963;1.15;0.58;10.74;2.58;2.1;5.3;4.66;2.22;0.24;0.17;2.18;0.86;32.78
1964;2.04;2.01;7.2;8.09;1.42;2.73;4.09;0.68;1.27;0.64;3.13;3.05;36.35
1965;3.86;4.33;2.17;5.8;1.44;3.49;3.18;3.25;5.16;1.05;1.41;2.97;38.11
1966;1.13;2.91;1.31;3.32;1.47;1.28;2.71;1.31;5.73;1.6;4.72;5.23;32.72
1967;1.81;1.84;3.33;3;5;1.07;2.34;2.38;0.8;5.72;2.54;4.92;34.75
1968;2.96;1.51;3.73;2.86;9.25;2.51;2.19;4.45;1.54;1.13;4.74;4.18;41.05
1969;6.19;1.23;1.33;4.42;1.82;4.16;8.02;2.98;2.89;4.83;2.86;2.04;42.77
1970;1.17;1.86;2.51;6.53;2.43;1.97;4.43;1.82;2.41;3.66;2.12;2.07;32.98
1971;1.98;5.35;1.49;1.16;4.25;3.39;5.68;1.93;3.1;1.84;1.29;6.02;37.48
1972;1.57;1.15;2.48;5.81;1.89;6.04;2.01;2.94;5.65;2.25;5.65;2.83;40.27
1973;2.27;1.11;5.63;2.76;1.79;5.91;6.67;2.74;2.43;3.11;3.62;4.27;42.31
1974;3.39;2.58;3.6;3.45;6.27;5.15;1.2;5.63;3.25;0.99;2.99;2.81;41.31
1975;4.37;4.13;4.16;4.14;2.42;5.73;4.63;4.68;2.32;2.8;3.63;3.71;46.72
1976;2.29;2.9;3.46;0.98;3.1;3.97;3.09;7.95;2.02;2.79;0.82;0.45;33.82
1977;1.5;3.62;3.83;1.91;2.78;3.86;2.57;4.47;3.4;2.79;3.01;4.31;38.05
1978;3.8;0.36;3.54;3.59;4.21;4.43;5.04;6.89;0.85;3.82;2.38;4.03;42.94
1979;3.24;2.86;2.43;3.14;2.23;3.93;11.06;6.09;0.36;2.32;4.37;2.57;44.6
1980;1.67;1.84;4.26;2.1;2.26;4.15;2.87;8.34;3.31;1.87;1.41;0.78;34.86
1981;0.36;2.88;1.22;5.81;9.23;1.64;5.75;1.69;2.04;2.35;1.12;3.4;37.49
1982;5.64;1.62;4.73;2.4;5.94;5.16;3.44;1;1.2;0.91;4.16;5.78;41.98
1983;1.05;1.03;2.94;4.47;4.68;4.53;1.58;2.79;1.28;3.87;4.55;3.43;36.2
1984;0.97;3.16;3.14;3.9;4.35;1.51;4.83;3.27;4.69;2.6;5.38;4.33;42.13
1985;1.37;3.73;5.94;2.6;4.6;3.06;4.06;5.29;2.71;1.82;8.5;3.3;46.98
1986;0.73;2.84;3.93;4.34;7.37;3.58;4.88;1.18;5.68;7.84;2.32;1.71;46.4
1987;1.55;1.28;1.84;2.68;1.77;4.11;9.22;0.86;1.41;1.36;2.6;4.77;33.45
1988;2.35;3.04;3.22;4.02;1.06;0.36;4.71;1.46;1.14;3.07;4.39;2.5;31.32
1989;1.75;1.32;3.72;4.32;5.79;3.8;6.15;8.05;8.06;2.92;2.79;1.9;50.57
1990;1.79;5.17;3.93;2.44;7.59;3.11;3.68;4.46;2.68;4.64;3.23;7.72;50.44
1991;1.59;1.94;6.41;4.34;4.64;0.91;2.17;3.54;1.12;5.47;3.95;1.45;37.53
1992;1.4;1.15;2.61;4.17;1.56;4.07;11.79;1.42;3.4;2.84;7.88;1.89;44.18
1993;3.29;2.31;3.72;3.75;2.76;5.15;4.94;6.42;5.69;2.25;8.3;2.18;50.76
1994;2.68;1.39;0.92;5.62;2.03;7;1.27;2.59;2.19;0.86;3.4;1.66;31.61
1995;2.44;0.9;2.99;2.79;7.37;3.49;2.61;4.16;1.27;2.08;2.64;2.72;35.46
1996;4.08;1.16;3.51;7.02;8.89;5.16;6.26;2.27;7.61;1.88;6.22;2.75;56.81
1997;4.47;3.92;4.59;1.97;4.93;3.17;0.55;2.96;1.51;1.55;1.94;1.33;32.89
1998;2.51;1.23;5.49;4.84;6.13;10.26;3.97;3.66;0.48;4.89;2.52;1;46.98
1999;6.35;3.57;1.71;4.09;3.75;2.57;2.96;1.5;0.75;1.82;0.69;2.61;32.37
2000;2.07;2.86;1.64;3.8;5;4.55;2.95;4.26;4.82;3.08;2.67;2.76;40.46
2001;0.74;1.95;0.64;1.82;4.1;4.46;8.34;2.47;4.66;7.01;2.69;3.01;41.89
2002;2.48;1.67;4.22;5.47;7.46;3.11;1.65;1.42;3.7;2.64;2.89;3.02;39.73
2003;1.27;3.45;3.72;2.55;6.39;2.36;8.01;4.64;10.37;2.68;3.64;3.48;52.56
2004;4.65;0.77;4.33;1.54;8.55;4.44;7.72;4.73;0.75;4.31;5.14;1.95;48.88
2005;9.39;2.59;1.14;4.69;2.51;3.59;2.98;4.2;4.67;1.64;3.64;2.69;43.73
2006;3.3;1.89;6.79;3.63;4.34;5.63;3.98;3.01;3.53;5.45;4.25;5.24;51.04
2007;4.41;2.77;4.91;3.3;1.97;2.22;1.9;3.43;1.59;2.8;1.85;5.55;36.7
2008;2.14;4.34;7.49;1.54;5.54;8;6.58;1.83;2.04;1.97;1.97;5.58;49.02
2009;1.72;2.69;2.28;7.23;6.69;6.6;4.6;4.94;1.86;5.59;1.16;3.3;48.66
2010;1.22;0.97;3.09;2.97;4.43;9.73;2.87;0.37;0.56;1.32;4.46;1.86;33.85
2011;2.2;5.25;3.73;7.98;4.97;5.76;0.47;1.11;5.37;2.82;4.87;5.1;49.63
2012;3.48;1.38;4.14;3.36;2.7;0.09;0.83;6.51;7.73;3.87;1.33;2.58;38
2013;5.51;2.27;1.96;8.59;3.5;3.66;3.29;1.15;2.86;5.46;3.23;4.44;45.92
2014;2.34;2.45;2.38;5.39;4.87;7.04;3.1;2.95;2.53;3.17;2.8;2.55;41.57
2015;1.81;1.34;3.53;4;2.45;8.36;13.14;1.55;1.7;1.82;2.86;5.59;48.15
2016;1.46;2.25;4.2;5.86;3.74;4.53;5.66;7.32;4.67;1.96;2.77;1.52;45.94
2017;4.35;1.1;4.72;5.6;8.51;6.53;6.18;1.77;0.66;2.95;3.96;1.12;47.45
2018;2;4.65;4.07;5.41;1.42;3.99;3;4.28;5.46;2.45;3.54;3.79;44.06
2019;2.82;4.68;5.02;4.96;4.16;7.51;3.86;3.54;0.47;4.48;2.61;3.05;47.16
2020;5.32;3.89;4.68;1.72;7.13;4.44;4.9;2.09;0.12;5.35;3.65;1.63;44.92
2021;2.39;1.84;3.87;3.8;3.57;7.51;6.34;1.99;5.25;7.74;1.22;4.23;49.75
2022;1.13;4.58;4.67;4.42;3.77;1.18;3.1;4.44;2.12;1.42;1.42;2.63;34.88
2023;3.97;2.55;6.03;2.29;2.84;1.41;6.06;2.97;1.6;2.47;0.93;1.26;34.38
2024;4.92;1.62;2.47;7.77;5.26;2.16;6.46;2.1;1.52;0.6;3.92;4.73;43.53
2025;1.17;1.52;2.78;8.02;4.42;4.22;4.3;1.31;1.77;1.97;2.83;2.39;36.7
